;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
EDFF98;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D133)
EDFF97;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D134)
EDFF96;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D135)
EDFF95;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D136)
EDFF94;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D137)
EDFF93;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D138)
EDFF92;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D139)
EDFF91;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D140)
EDFF90;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D141)
EDFF8F;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D142)
EDFF8E;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D143)
EDFF8D;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D144)
EDFF8C;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D145)
EDFF8B;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D146)
EDFF8A;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D147)
EDFF89;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D148)
EDFF88;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D149)
EDFF87;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D150)
EDFF86;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D151)
EDFF85;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D152)
EDFF84;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D153)
EDFF83;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D154)
EDFF82;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D155)
EDFF81;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D156)
EDFF80;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D157)
EDFF7F;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D158)
EDFF7E;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D159)
